"treefilename","strength","bias","birth","death"
"tree441.tre",0.0259218768915161,"FP",2,1
"tree442.tre",-0.973126053926535,"FP",2,1
"tree443.tre",0.750184078584425,"FP",2,1
"tree444.tre",0.565969472168945,"FP",2,1
"tree445.tre",-1.19605566293467,"FP",2,1
"tree446.tre",-1.07164097286295,"FP",2,1
"tree447.tre",0.617994597065262,"FP",2,1
"tree448.tre",0.27067841112148,"FP",2,1
"tree449.tre",-1.22594085207675,"FP",2,1
"tree450.tre",-0.461017954279669,"FP",2,1
"tree451.tre",0.0631056379061192,"FP",2,1
"tree452.tre",-0.88111323339399,"FP",2,1
"tree453.tre",0.717981815920211,"FP",2,1
"tree454.tre",-1.37065218912903,"FP",2,1
"tree455.tre",0.52893694571685,"FP",2,1
"tree456.tre",-1.01420394296292,"FP",2,1
"tree457.tre",0.823279254487716,"FP",2,1
"tree458.tre",0.274571044370532,"FP",2,1
"tree459.tre",0.79030696908012,"FP",2,1
"tree460.tre",-0.173995340359397,"FP",2,1
"tree461.tre",0.879106815787964,"FP",2,1
"tree462.tre",-0.445483764982782,"FP",2,1
"tree463.tre",-1.30229911627248,"FP",2,1
"tree464.tre",-0.797700540046208,"FP",2,1
"tree465.tre",-0.0237402992788702,"FP",2,1
"tree466.tre",-0.891723758890294,"FP",2,1
"tree467.tre",0.53570015670266,"FP",2,1
"tree468.tre",0.60872421215754,"FP",2,1
"tree469.tre",0.742165899951942,"FP",2,1
"tree470.tre",-0.0902023140806705,"FP",2,1
"tree471.tre",-0.816184723866172,"FP",2,1
"tree472.tre",0.410627668839879,"FP",2,1
"tree473.tre",-1.25066547573078,"FP",2,1
"tree474.tre",0.468202210846357,"FP",2,1
"tree475.tre",-0.32943257514853,"FP",2,1
"tree476.tre",0.530932813067921,"FP",2,1
"tree477.tre",0.566437175963074,"FP",2,1
"tree478.tre",0.388304982567206,"FP",2,1
"tree479.tre",-0.95238942396827,"FP",2,1
"tree480.tre",0.436274669715203,"FP",2,1
"tree481.tre",0.975917976116762,"FP",2,1
"tree482.tre",0.892329061403871,"FP",2,1
"tree483.tre",-0.493683625594713,"FP",2,1
"tree484.tre",-0.401513032033108,"FP",2,1
"tree485.tre",-1.27998532704078,"FP",2,1
"tree486.tre",0.437124864780344,"FP",2,1
"tree487.tre",0.0516909025609493,"FP",2,1
"tree488.tre",0.173292650957592,"FP",2,1
"tree489.tre",0.497093048994429,"FP",2,1
"tree490.tre",-0.393933009239845,"FP",2,1
"tree491.tre",-1.16997954470571,"FP",2,1
"tree492.tre",-1.00048628204968,"FP",2,1
"tree493.tre",-0.121211357531138,"FP",2,1
"tree494.tre",0.16876379516907,"FP",2,1
"tree495.tre",-0.776262235362083,"FP",2,1
"tree496.tre",-0.0183308646082878,"FP",2,1
"tree497.tre",-0.62684052134864,"FP",2,1
"tree498.tre",-1.47632716782391,"FP",2,1
"tree499.tre",-0.259940933668986,"FP",2,1
"tree500.tre",-1.05755966657307,"FP",2,1
"tree501.tre",0.763897024677135,"FP",2,1
"tree502.tre",-0.321547466795892,"FP",2,1
"tree503.tre",0.708512582001276,"FP",2,1
"tree504.tre",0.387713267933577,"FP",2,1
"tree505.tre",-1.25455698207952,"FP",2,1
"tree506.tre",0.543281068326905,"FP",2,1
"tree507.tre",0.273009030730464,"FP",2,1
"tree508.tre",-0.991783035336994,"FP",2,1
"tree509.tre",0.430141362827271,"FP",2,1
"tree510.tre",-0.367615499184467,"FP",2,1
"tree511.tre",0.379949931753799,"FP",2,1
"tree512.tre",0.325896024238318,"FP",2,1
"tree513.tre",-0.987867102725431,"FP",2,1
"tree514.tre",-1.16000005428214,"FP",2,1
"tree515.tre",-1.24512679502368,"FP",2,1
"tree516.tre",0.36652013042476,"FP",2,1
"tree517.tre",-1.1001010062173,"FP",2,1
"tree518.tre",-0.102023754501715,"FP",2,1
"tree519.tre",-1.07648445037194,"FP",2,1
"tree520.tre",-0.515803839429282,"FP",2,1
"tree521.tre",-0.723577578668483,"FP",2,1
"tree522.tre",0.35652278654743,"FP",2,1
"tree523.tre",-0.341338698402978,"FP",2,1
"tree524.tre",-0.269276370876469,"FP",2,1
"tree525.tre",0.930870023672469,"FP",2,1
"tree526.tre",-0.532329194596969,"FP",2,1
"tree527.tre",0.252239864435978,"FP",2,1
"tree528.tre",-0.291800233884715,"FP",2,1
"tree529.tre",-1.05663373577408,"FP",2,1
"tree530.tre",0.208610279601999,"FP",2,1
"tree531.tre",0.733109280932695,"FP",2,1
"tree532.tre",-1.45975689496845,"FP",2,1
"tree533.tre",0.741645762114786,"FP",2,1
"tree534.tre",0.990627189399675,"FP",2,1
"tree535.tre",-0.834885474527255,"FP",2,1
"tree536.tre",0.97593373816926,"FP",2,1
"tree537.tre",0.0222037449711934,"FP",2,1
"tree538.tre",-1.37007217016071,"FP",2,1
"tree539.tre",-0.493163120467216,"FP",2,1
"tree540.tre",0.980846765683964,"FP",2,1
"tree541.tre",-0.945847634924576,"FP",2,1
"tree542.tre",0.706984906806611,"FP",2,1
"tree543.tre",-0.286028101458214,"FP",2,1
"tree544.tre",-1.31648555258289,"FP",2,1
"tree545.tre",-0.455750643508509,"FP",2,1
"tree546.tre",-1.20765495672822,"FP",2,1
"tree547.tre",-0.105671084369533,"FP",2,1
"tree548.tre",0.288910470204428,"FP",2,1
"tree549.tre",0.537094198167324,"FP",2,1
"tree550.tre",0.778992388746701,"FP",2,1
"tree551.tre",-0.53151095379144,"FP",2,1
"tree552.tre",-1.14816174411681,"FP",2,1
"tree553.tre",0.651603161473759,"FP",2,1
"tree554.tre",0.625270863762125,"FP",2,1
"tree555.tre",-0.0793772665783763,"FP",2,1
"tree556.tre",0.671731176204048,"FP",2,1
"tree557.tre",-1.14483189629391,"FP",2,1
"tree558.tre",-0.408660950837657,"FP",2,1
"tree559.tre",-0.598473178455606,"FP",2,1
"tree560.tre",-0.22528096428141,"FP",2,1
"tree561.tre",0.767158356262371,"FP",2,1
